,f1_test_svm,f1_test_tm,f1_train_svm,f1_train_tm,topic_num
0,0.741216926506331,0.7287115915784259,0.7625419440693599,0.7509762499199795,10.0
1,0.7848180956249042,0.760550534894328,0.8165174608952308,0.794414250308668,25.0
2,0.8098693621147581,0.7613898010871989,0.8399618479287904,0.799250549049348,40.0
3,0.8073448082904509,0.7671729611055206,0.8459408126060706,0.8126090699298683,55.0
4,0.8105894024013001,0.7865269482256135,0.8439913643603862,0.8232040982663411,70.0
5,0.8128765078265396,0.7929782181413435,0.8538666443465468,0.8368609714637116,85.0
6,0.8184423522061535,0.7869321097185928,0.8606162989724634,0.8318208927368482,100.0
7,0.8189123018895181,0.7940480416989824,0.859055292731083,0.8379768884852983,115.0
8,0.8151971602456431,0.7855760823641613,0.8629418109529083,0.8275305380154319,130.0
9,0.8085181835268962,0.7601927883540098,0.8561398328761556,0.8099908864719729,145.0
10,0.8031198739967194,0.7654037135136036,0.8536222882968839,0.8181661100717231,160.0
11,0.7992356027778662,0.7799583161517653,0.8515826886047989,0.8338852690451115,175.0
12,0.8000129038283346,0.7685104364209403,0.854053005643924,0.8206650112575491,190.0
13,0.8000722152918902,0.7679393515829414,0.8492129246727542,0.8213084359092924,205.0
14,0.7942639226307924,0.7778625916426314,0.8470145738855028,0.8315154611978106,220.0
15,0.7957984444742305,0.7685630414561861,0.8483115060379359,0.8203426127716957,235.0
